GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-HSCP-1_AML__co-1-Query	avg-HSCP-1_AML__co-1-Ref
ENSMUSG00000036192	En	1.1367970968	3.45311788993e-133	5.33713901067e-129	Rorb	1.13837902394	0.00158192714533
ENSMUSG00000020027	En	7.11059127376	7.39372426436e-85	5.7138701115e-81	Socs2	7.52984275576	0.419251482
ENSMUSG00000025279	En	0.858516175752	4.93199582334e-80	2.54096424819e-76	Dnase1l3	0.859748507275	0.00123233152249
ENSMUSG00000046687	En	4.41615453516	6.25119399041e-62	2.4154613579e-58	Gm5424	4.55471022245	0.138555687294
Gm6251	Sy	3.99678405586	1.12502887877e-57	3.47768927004e-54	Gm6251	4.59312156896	0.596337513104
ENSMUSG00000083192	En	-3.93395268273	7.29918113576e-48	1.88026906057e-44	Rpl31-ps12	0.495875660627	4.42982834336
ENSMUSG00000032496	En	1.16828363073	1.11450582155e-41	2.46082885398e-38	Ltf	1.22932564488	0.0610420141488
ENSMUSG00000001020	En	4.41097310522	5.44931860764e-38	1.052808355e-34	S100a4	4.67346576751	0.262492662294
ENSMUSG00000044285	En	2.31382364196	7.16934134274e-37	1.23121488659e-33	Gm1821	8.68114869312	6.36732505116
ENSMUSG00000024053	En	4.01210364622	9.49977696913e-35	1.46828552835e-31	Emilin2	4.63723373869	0.625130092464
ENSMUSG00000032484	En	2.74733579576	4.51235228027e-34	6.34026516763e-31	Ngp	3.07721186935	0.329876073595
ENSMUSG00000001025	En	5.21300973203	2.04339611132e-33	2.63189419139e-30	S100a6	6.23446910578	1.02145937375
ENSMUSG00000021211	En	3.79674987139	7.66039303188e-32	8.45707390719e-29	Akr1c12	4.14272906024	0.345979188844
ENSMUSG00000091269	En	1.36094949764	1.07261064158e-31	1.10521800508e-28	Gm6682	1.51427604678	0.153326549142
ENSMUSG00000038357	En	2.12101615075	3.77250385545e-31	3.64423872437e-28	Camp	2.35432279759	0.233306646834
Rn4.5s	Sy	3.82330402103	6.82429126778e-31	6.20448504911e-28	Rn4.5s	9.42538066341	5.60207664238
ENSMUSG00000037362	En	2.27964811906	9.71619268914e-31	8.34297078908e-28	Nov	2.27964811906	0.0
ENSMUSG00000056071	En	2.86382203472	7.92021281181e-29	6.44288469575e-26	S100a9	3.4284243121	0.564602277374
ENSMUSG00000002565	En	3.06182607283	1.36186885491e-28	1.05245225107e-25	Scin	3.22201153943	0.160185466606
ENSMUSG00000026070	En	3.02647635446	2.46903024087e-28	1.81720625728e-25	Il18r1	3.20494400225	0.178467647799
ENSMUSG00000078922	En	3.38972695132	2.76627877321e-28	1.94343657812e-25	Tgtp1	3.79194021694	0.402213265623
ENSMUSG00000066363	En	3.54968953123	2.07576769546e-27	1.39491589135e-24	Serpina3f	3.83819381543	0.288504284197
ENSMUSG00000036256	En	1.91438806097	6.06285757628e-27	3.90448027912e-24	Igfbp7	1.93849379578	0.0241057348166
ENSMUSG00000090159	En	2.37608839196	6.48149630012e-25	3.8530002621e-22	Gm8580	3.12233491841	0.74624652645
ENSMUSG00000036594	En	2.69219453641	5.28325460456e-24	3.02436974697e-21	H2-Aa	3.14261094845	0.450416412042
ENSMUSG00000087150	En	4.61442667969	5.68519328503e-24	3.13822669334e-21	BC064078	5.77352773455	1.15910105486
ENSMUSG00000079014	En	0.956445258029	1.96657406625e-23	1.04811616442e-20	Serpina3i	1.0665582718	0.110113013775
ENSMUSG00000034892	En	0.758979384692	5.02241854863e-23	2.58755003625e-20	Rps29	12.0779414359	11.3189620512
ENSMUSG00000025491	En	6.31711335768	3.30254753823e-21	1.64658628229e-18	Ifitm1	11.617347032	5.3002336743
ENSMUSG00000073940	En	4.25375723062	3.94061527887e-21	1.84564090152e-18	Hbb-b2	5.03596500963	0.782207779007
Hbb-bt	Sy	4.25375723062	3.94061527887e-21	1.84564090152e-18	Hbb-bt	5.03596500963	0.782207779007
ENSMUSG00000057322	En	1.12831948974	5.57598972809e-21	2.53477933051e-18	Rpl38	11.2165083312	10.0881888414
ENSMUSG00000032323	En	1.91257997974	1.70922994509e-20	7.54795943751e-18	Cyp11a1	1.93339707214	0.0208170923979
ENSMUSG00000024610	En	2.73523176846	3.53880464156e-19	1.47826390649e-16	Cd74	3.43132587812	0.696094109661
ENSMUSG00000041272	En	3.1450955616	1.53154028952e-18	6.22933860916e-16	Tox	3.65707588878	0.511980327187
ENSMUSG00000024065	En	1.50682092657	3.01595212321e-18	1.19524502606e-15	Ehd3	1.54550127212	0.0386803455433
ENSMUSG00000067288	En	0.784463817087	1.12942372873e-17	4.36409328781e-15	Rps28	11.6163149038	10.8318510867
ENSMUSG00000041481	En	4.99329709887	1.48666421175e-17	5.60436147728e-15	Serpina3g	7.77817059533	2.78487349647
ENSMUSG00000060586	En	1.4422466956	3.22521255469e-17	1.18687822013e-14	H2-Eb1	1.64644289537	0.204196199768
ENSMUSG00000069833	En	1.60684561403	5.15100177057e-17	1.81208215626e-14	Ahnak	1.93079402775	0.32394841372
ENSMUSG00000014846	En	1.73998469757	5.15861897487e-17	1.81208215626e-14	Tppp3	1.79001811286	0.0500334152976
ENSMUSG00000022995	En	1.24970412221	6.01164614972e-17	2.06480006422e-14	Enah	1.440726716	0.191022593789
ENSMUSG00000068396	En	1.23931494104	7.34838710383e-17	2.38082380592e-14	Rpl34-ps1	11.0275995988	9.78828465774
ENSMUSG00000032578	En	2.68222015317	7.39386275132e-17	2.38082380592e-14	Cish	3.12068309465	0.438462941478
ENSMUSG00000004558	En	1.89373954148	9.22783129566e-17	2.91072164297e-14	Ndrg2	2.05369400953	0.159954468045
ENSMUSG00000028108	En	1.96021843577	5.87647434481e-16	1.81653574947e-13	Ecm1	2.13384090471	0.173622468934
Rn45s	Sy	-0.962131463999	8.70846905676e-16	2.63917838708e-13	Rn45s	10.2565170143	11.2186484783
ENSMUSG00000071478	En	2.08657599528	1.12255927731e-15	3.33659157503e-13	Hist1h2ad	2.46701637235	0.380440377076
ENSMUSG00000048376	En	3.03915599169	1.30381349115e-15	3.80221534326e-13	F2r	3.83885477841	0.799698786727
ENSMUSG00000039264	En	1.79655973543	1.72535809207e-15	4.93835827242e-13	Gimap3	1.86925479686	0.0726950614325
ENSMUSG00000079641	En	0.881254365015	1.87245869673e-15	5.26194938484e-13	Rpl39	11.0741838677	10.1929295027
ENSMUSG00000082286	En	3.70379938394	4.93784936681e-15	1.33893683883e-12	Pisd-ps1	5.84635145831	2.14255207438
Chil3	Sy	1.12501090479	5.5576982723e-15	1.48103076718e-12	Chil3	1.33737575467	0.212364849879
