GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-HSCP-1_AML	avg-HSCP-1_cellHarmony-Reference
ENSMUSG00000036192	En	1.02018373845	1.10794990732e-27	1.47379496672e-23	Rorb	1.02018373845	0.0
ENSMUSG00000025279	En	1.01595466607	4.48165123527e-19	2.98074623658e-15	Dnase1l3	1.02220280309	0.00624813701754
ENSMUSG00000020027	En	7.04716360256	1.3423996856e-17	5.95220020594e-14	Socs2	7.561626904	0.514463301439
ENSMUSG00000054203	En	0.802356204833	2.81294951027e-13	9.35446359639e-10	Ifi205	0.820151911727	0.0177957068947
ENSMUSG00000044285	En	2.67655234013	3.06387178672e-12	8.15112450139e-09	Gm1821	9.05488446718	6.37833212705
ENSMUSG00000046687	En	4.0756679799	4.96468868207e-12	1.10067148081e-08	Gm5424	4.14700480264	0.0713368227368
ENSMUSG00000056054	En	2.76298627145	6.92877722945e-12	1.31666563866e-08	S100a8	2.76298627145	0.0
Gm6251	Sy	4.01433723365	7.99723441219e-12	1.32974015189e-08	Gm6251	4.692917704	0.678580470351
ENSMUSG00000031074	En	4.0434014838	2.18837332953e-10	3.23441578104e-07	Fgf3	4.12236638873	0.0789649049298
ENSMUSG00000048376	En	5.01450658991	5.74341382274e-10	7.639889067e-07	F2r	5.84647814555	0.831971555632
ENSMUSG00000046314	En	2.20673363279	9.23517174224e-10	1.0501230885e-06	Stxbp6	2.31178826355	0.105054630754
ENSMUSG00000083192	En	-3.53643250645	9.4733702165e-10	1.0501230885e-06	Rpl31-ps12	0.302517033091	3.83894953954
ENSMUSG00000036103	En	-2.00903988778	1.37069911118e-09	1.40254150591e-06	Colec12	3.34014354664	5.34918343442
ENSMUSG00000086503	En	2.58706849402	4.47367985177e-09	4.2506349563e-06	Xist	2.64450791364	0.057439419614
ENSMUSG00000032484	En	1.97791810889	1.72725303415e-08	1.53172799068e-05	Ngp	1.992935472	0.0150173631053
ENSMUSG00000078922	En	4.53303904937	1.99694468902e-08	1.66020989083e-05	Tgtp1	5.41016366945	0.877124620088
ENSMUSG00000038357	En	1.95503840064	5.25711083324e-08	4.1135346061e-05	Camp	1.95503840064	0.0
ENSMUSG00000022261	En	2.43638698436	9.33692825958e-08	6.89998998383e-05	Sdc2	2.43638698436	0.0
ENSMUSG00000071478	En	2.41998756305	1.45423705242e-07	0.000101811901428	Hist1h2ad	2.51566215482	0.0956745917719
ENSMUSG00000039167	En	-4.83225418853	1.60549113085e-07	0.000106781215113	Eltd1	2.08616911582	6.91842330435
ENSMUSG00000066363	En	4.09395861328	1.7116297324e-07	0.000108419517621	Serpina3f	4.57471369236	0.480755079088
ENSMUSG00000039264	En	2.95059756618	2.66629252321e-07	0.000155291226081	Gimap3	2.95929397255	0.00869640636842
ENSMUSG00000002565	En	2.73894656864	2.68508359635e-07	0.000155291226081	Scin	2.73894656864	0.0
ENSMUSG00000056071	En	2.41904590679	4.8223634339e-07	0.000267279493324	S100a9	2.56158432791	0.142538421123
Rn4.5s	Sy	4.06821144715	5.63663804277e-07	0.000299914236979	Rn4.5s	9.75034790318	5.68213645604
ENSMUSG00000072620	En	3.05002043615	6.89746063379e-07	0.000352884697502	Slfn2	3.45682753282	0.406807096667
